      9     52        0.01
  0.0     0.0     0.0         0.0     0.0     0.5      60       Gamma  Lambda   Z
  0.5     0.0     0.0         0.0     0.0     0.0      60       X      Delta    Gamma
  0.0     0.0     0.0         0.5     0.5     0.0      80       Gamma  Sigma    M
  0.5     0.5     0.0         0.5     0.0     0.0      60       M      Y        X
  0.5     0.0     0.0         0.5     0.0     0.5      60       X      W        R
  0.5     0.0     0.5         0.0     0.0     0.5      60       R      U        Z
  0.0     0.0     0.5         0.5     0.5     0.5      80       Z      S        A
  0.5     0.5     0.5         0.5     0.0     0.5      60       A      T        R
  0.5     0.5     0.0         0.5     0.5     0.5      60       M      V        A
